Palavra;Documentos
anemia;['00098 ', '00098 ', '00098 ', '00098 ', '00442 ', '00490 ', '00582 ', '00756 ', '00935 ', '01189 ']
anesthesia;['00843 ']
anesthetic;['00197']
angiocardiographic;['01041 ']
angiocardiography;['01041 ']
angioedema;['00490 ']
angiotensin;['01129 ', '01132 ']
animal;['00046 ', '00220', '00270', '00359 ', '00435 ', '00435 ', '01156 ']
animals;['00581 ', '01223 ', '01223 ']
anionic;['01175 ']
announced;['01226 ']
annular;['00643 ']
anode;['00534 ']
anomalies;['00801 ', '01156 ', '01156 ', '01185 ']
anomaly;['00091 ']
anorexia;['00272', '00648 ', '00762 ', '00762 ', '00762 ']
another;['00012 ', '00019 ', '00106 ', '00126 ', '00434 ', '00436 ', '00445 ', '00468 ', '00491 ', '00769 ', '00846 ', '00915 ', '00985 ']
answer;['00325', '01123 ']
answers;['01236 ']
antagonist;['01223 ']
antenatal;['00360 ', '00360 ', '00505 ', '01140 ']
antenatally;['01211 ']
anti;['00592 ']
antibiotic;['00058 ', '00067 ', '00392 ', '00438 ', '00452 ', '00452 ', '00452 ', '00452 ', '00487 ', '00767 ', '01065 ', '01093 ', '01179 ']
antibiotics;['00111 ', '00129 ', '00146 ', '00213', '00282', '00315', '00326', '00451 ', '00452 ', '00510 ', '00628 ', '00694 ', '00767 ', '00838 ', '00922 ', '01091 ', '01179 ', '01179 ', '01181 ']
antibodies;['00110 ', '00451 ', '00769 ', '00769 ', '00860 ', '00860 ']
antibody;['00034 ', '00034 ', '00164 ', '00219', '00222', '00670 ', '00769 ', '00769 ', '00860 ', '00860 ', '00936 ', '01173 ', '01173 ', '01173 ', '01173 ', '01236 ']
antichymotrypsin;['00033 ', '00415 ', '00415 ']
anticipated;['00250']
antidiuretic;['00694 ']
antidote;['00296']
antigen;['00219', '00281', '00397 ', '00432 ', '00769 ', '00769 ', '00769 ', '01169 ', '01169 ']
antigenic;['01193 ']
antigens;['00034 ', '00034 ', '00397 ', '00397 ', '00397 ', '00432 ', '00485 ', '00860 ', '01170 ', '01173 ', '01173 ', '01173 ']
antimalarial;['00363 ']
antimicrobial;['00590 ', '01234 ']
antiprotease;['00071 ']
antiproteolytic;['01170 ', '01170 ']
antirypsin;['00483 ']
antistaphylococcal;['00384 ']
antitrypsin;['00033 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00545 ', '00627 ', '01131 ', '01131 ']
anuria;['01098 ']
anxiety;['00285', '00359 ']
any;['00091 ', '00110 ', '00111 ', '00112 ', '00120 ', '00120 ', '00121 ', '00136 ', '00217', '00219', '00272', '00272', '00278', '00278', '00279', '00284', '00284', '00293', '00296', '00325', '00331', '00377 ', '00450 ', '00450 ', '00477 ', '00483 ', '00485 ', '00491 ', '00498 ', '00498 ', '00505 ', '00529 ', '00559 ', '00617 ', '00627 ', '00694 ', '00714 ', '00714 ', '00759 ', '00762 ', '00773 ', '00810 ', '00810 ', '00818 ', '00818 ', '00818 ', '00835 ', '00846 ', '00875 ', '00879 ', '00902 ', '00915 ', '00928 ', '00931 ', '01131 ', '01146 ', '01148 ', '01167 ', '01178 ', '01189 ']
anything;['00213']
anyway;['01103 ']
anywhere;['00343']
apart;['00476 ', '00927 ']
aplasia;['00832 ', '00832 ']
apparatus;['00325', '00605 ', '00773 ', '01210 ']
apparent;['00056 ', '00083 ', '00109 ', '00111 ', '00111 ', '00115 ', '00118 ', '00118 ', '00126 ', '00208', '00285', '00483 ', '00529 ', '01028 ', '01044 ', '01185 ', '01206 ']
apparently;['00076 ', '00116 ', '00118 ', '00162 ', '00286', '00431 ', '00902 ', '00902 ', '01040 ']
appear;['00103 ', '00105 ', '00105 ', '00189', '00278', '00294', '00300', '00441 ', '00470 ', '00494 ', '00534 ', '00966 ', '00985 ', '01148 ']
appearance;['00216', '00268', '00478 ', '00593 ', '00615 ', '00719 ', '00798 ']
appeared;['00106 ', '00203', '00704 ', '00740 ', '00954 ', '01111 ']
appearing;['00477 ', '00942 ']
appears;['00039 ', '00060 ', '00098 ', '00103 ', '00105 ', '00281', '00406 ', '00441 ', '00441 ', '00444 ', '00525 ', '00648 ', '00797 ', '00830 ', '00836 ', '00930 ', '01044 ', '01044 ', '01148 ']
appendectomy;['00095 ']
appendices;['00095 ']
appendicitis;['00769 ']
appendix;['00095 ', '00095 ', '00478 ']
appetite;['00301']
appetites;['01106 ']
applicable;['00046 ', '01117 ']
application;['00072 ', '00250', '00491 ', '01001 ', '01041 ', '01041 ', '01041 ', '01103 ']
applications;['00014 ', '01041 ', '01160 ', '01193 ']
applied;['00014 ', '00452 ', '00593 ', '00929 ', '00990 ', '01041 ', '01186 ', '01220 ']
apply;['00216', '00297', '00491 ', '01140 ']
appreciable;['00542 ', '00761 ']
appreciably;['01238 ']
appreciate;['00694 ', '00902 ']
appreciated;['00756 ', '00822 ', '00822 ', '00937 ']
appreciation;['00095 ']
approach;['00071 ', '00077 ', '00077 ', '00126 ', '00299', '00435 ', '00435 ', '00450 ', '00538 ', '00542 ', '00545 ', '00627 ', '00791 ', '00882 ', '00941 ', '00990 ', '01096 ', '01223 ']
approachable;['00197']
approaches;['00014 ', '00014 ', '00197', '00264', '00360 ', '00370 ', '00547 ', '00581 ', '00824 ', '00824 ', '01041 ', '01156 ']
appropriate;['00058 ', '00284', '00477 ', '00510 ', '00517 ', '00607 ', '00824 ', '00954 ', '01004 ', '01189 ']
approximately;['00039 ', '00088 ', '00104 ', '00163 ', '00333', '00360 ', '00544 ', '00559 ', '00719 ', '00915 ', '01105 ', '01206 ']
approximating;['00881 ']
arachidonate;['00278']
arachidonic;['00287', '00288', '00288']
arduous;['00489 ']
are;['00012 ', '00017 ', '00018 ', '00018 ', '00033 ', '00033 ', '00037 ', '00037 ', '00039 ', '00046 ', '00046 ', '00046 ', '00046 ', '00046 ', '00058 ', '00060 ', '00063 ', '00067 ', '00076 ', '00076 ', '00076 ', '00077 ', '00077 ', '00088 ', '00101 ', '00103 ', '00110 ', '00110 ', '00112 ', '00118 ', '00118 ', '00120 ', '00121 ', '00126 ', '00129 ', '00130 ', '00130 ', '00133 ', '00133 ', '00133 ', '00135 ', '00135 ', '00136 ', '00136 ', '00136 ', '00153 ', '00157 ', '00162 ', '00165 ', '00165 ', '00165 ', '00165 ', '00169', '00189', '00197', '00197', '00201', '00203', '00203', '00206', '00208', '00215', '00215', '00215', '00215', '00220', '00222', '00237', '00237', '00239', '00239', '00241', '00241', '00242', '00244', '00247', '00268', '00276', '00277', '00278', '00279', '00281', '00284', '00286', '00287', '00290', '00296', '00297', '00299', '00299', '00300', '00301', '00315', '00315', '00322', '00322', '00326', '00327', '00327', '00328', '00330', '00331', '00331', '00332', '00332', '00333', '00350', '00351', '00351', '00351', '00352', '00359 ', '00359 ', '00359 ', '00363 ', '00370 ', '00370 ', '00370 ', '00370 ', '00370 ', '00370 ', '00373 ', '00373 ', '00373 ', '00373 ', '00384 ', '00384 ', '00384 ', '00389 ', '00392 ', '00392 ', '00397 ', '00397 ', '00398 ', '00398 ', '00398 ', '00398 ', '00423 ', '00432 ', '00432 ', '00432 ', '00432 ', '00433 ', '00433 ', '00433 ', '00434 ', '00434 ', '00435 ', '00435 ', '00436 ', '00436 ', '00436 ', '00437 ', '00437 ', '00438 ', '00438 ', '00439 ', '00440 ', '00441 ', '00441 ', '00441 ', '00441 ', '00442 ', '00444 ', '00445 ', '00446 ', '00446 ', '00450 ', '00450 ', '00451 ', '00456 ', '00471 ', '00478 ', '00483 ', '00483 ', '00484 ', '00485 ', '00485 ', '00489 ', '00491 ', '00496 ', '00497 ', '00498 ', '00500 ', '00501 ', '00502 ', '00503 ', '00504 ', '00504 ', '00504 ', '00504 ', '00504 ', '00505 ', '00505 ', '00505 ', '00507 ', '00507 ', '00507 ', '00507 ', '00508 ', '00510 ', '00511 ', '00511 ', '00516 ', '00517 ', '00517 ', '00534 ', '00534 ', '00534 ', '00538 ', '00538 ', '00542 ', '00542 ', '00542 ', '00544 ', '00545 ', '00547 ', '00559 ', '00559 ', '00570 ', '00570 ', '00590 ', '00592 ', '00596 ', '00596 ', '00602 ', '00607 ', '00607 ', '00615 ', '00617 ', '00617 ', '00627 ', '00628 ', '00643 ', '00648 ', '00658 ', '00658 ', '00670 ', '00670 ', '00687 ', '00687 ', '00694 ', '00716 ', '00719 ', '00719 ', '00719 ', '00726 ', '00732 ', '00732 ', '00739 ', '00739 ', '00761 ', '00761 ', '00761 ', '00767 ', '00768 ', '00791 ', '00810 ', '00811 ', '00818 ', '00822 ', '00822 ', '00835 ', '00835 ', '00837 ', '00837 ', '00844 ', '00845 ', '00845 ', '00856 ', '00856 ', '00856 ', '00860 ', '00875 ', '00875 ', '00879 ', '00881 ', '00881 ', '00882 ', '00911 ', '00911 ', '00915 ', '00919 ', '00919 ', '00923 ', '00923 ', '00923 ', '00926 ', '00926 ', '00926 ', '00930 ', '00933 ', '00935 ', '00935 ', '00942 ', '00942 ', '00944 ', '00949 ', '00990 ', '00990 ', '00991 ', '00997 ', '01001 ', '01004 ', '01004 ', '01004 ', '01013 ', '01031 ', '01039 ', '01041 ', '01044 ', '01044 ', '01065 ', '01065 ', '01066 ', '01068 ', '01070 ', '01070 ', '01072 ', '01079 ', '01080 ', '01088 ', '01088 ', '01088 ', '01093 ', '01100 ', '01100 ', '01103 ', '01108 ', '01111 ', '01122 ', '01122 ', '01123 ', '01128 ', '01129 ', '01130 ', '01134 ', '01135 ', '01137 ', '01138 ', '01139 ', '01140 ', '01140 ', '01140 ', '01146 ', '01151 ', '01156 ', '01156 ', '01158 ', '01159 ', '01159 ', '01159 ', '01161 ', '01162 ', '01163 ', '01170 ', '01170 ', '01170 ', '01171 ', '01173 ', '01173 ', '01175 ', '01177 ', '01177 ', '01179 ', '01179 ', '01183 ', '01185 ', '01186 ', '01186 ', '01193 ', '01195 ', '01195 ', '01195 ', '01206 ', '01211 ', '01218 ', '01224 ', '01234 ', '01234 ', '01234 ']
area;['00077 ', '00130 ', '00360 ', '00397 ', '00435 ', '00440 ', '00740 ', '00811 ', '00856 ', '00898 ', '01165 ']
areas;['00084 ', '00104 ', '00431 ', '00440 ', '00596 ', '00615 ', '00856 ', '00935 ', '01036 ', '01158 ', '01224 ', '01234 ']
arg;['01140 ']
argentaffin;['01193 ']
arginine;['00019 ', '00019 ', '00019 ', '00019 ', '00019 ', '00019 ', '00019 ', '00019 ', '00019 ', '00019 ', '00430 ', '00445 ', '00445 ', '00445 ', '00445 ', '00542 ', '00542 ', '00542 ', '00542 ', '00542 ', '00542 ', '01140 ', '01140 ', '01140 ']
argue;['00434 ', '00694 ']
argued;['00111 ', '00395 ']
argues;['00468 ', '00777 ']
arguments;['01160 ']
arise;['00333']
arising;['00643 ']
arm;['00471 ', '00471 ']
arose;['01151 ']
art;['00433 ', '00465 ']
arterial;['00843 ', '00985 ']
arteriography;['00643 ']
artery;['00267']
arthritis;['00296', '00582 ', '01097 ', '01097 ']
arthropod;['00270']
article;['00147 ', '00196', '00301', '00377 ', '00435 ', '00440 ', '00478 ', '00485 ', '00507 ', '00517 ', '00542 ', '00602 ', '00602 ', '00808 ', '00838 ', '00844 ', '00856 ', '00902 ', '00962 ', '01093 ', '01103 ', '01122 ', '01193 ', '01195 ']
articles;['00098 ', '01013 ']
artificial;['00101 ', '00153 ', '00212', '00220']
as;['00014 ', '00018 ', '00030 ', '00030 ', '00033 ', '00037 ', '00046 ', '00046 ', '00056 ', '00058 ', '00063 ', '00067 ', '00071 ', '00072 ', '00077 ', '00077 ', '00083 ', '00083 ', '00083 ', '00084 ', '00084 ', '00088 ', '00088 ', '00090 ', '00090 ', '00091 ', '00095 ', '00103 ', '00103 ', '00104 ', '00105 ', '00110 ', '00110 ', '00111 ', '00115 ', '00121 ', '00121 ', '00121 ', '00129 ', '00129 ', '00133 ', '00135 ', '00135 ', '00135 ', '00136 ', '00142 ', '00142 ', '00153 ', '00180', '00189', '00189', '00189', '00203', '00203', '00203', '00213', '00213', '00215', '00220', '00237', '00238', '00239', '00241', '00242', '00250', '00264', '00264', '00264', '00267', '00268', '00268', '00270', '00276', '00280', '00280', '00281', '00281', '00281', '00287', '00290', '00291', '00296', '00297', '00297', '00297', '00297', '00297', '00297', '00299', '00299', '00322', '00326', '00327', '00330', '00330', '00333', '00343', '00343', '00343', '00352', '00360 ', '00360 ', '00360 ', '00360 ', '00370 ', '00370 ', '00370 ', '00377 ', '00377 ', '00398 ', '00406 ', '00415 ', '00423 ', '00430 ', '00431 ', '00433 ', '00434 ', '00435 ', '00437 ', '00437 ', '00446 ', '00446 ', '00446 ', '00450 ', '00452 ', '00465 ', '00476 ', '00478 ', '00478 ', '00484 ', '00484 ', '00487 ', '00490 ', '00490 ', '00490 ', '00495 ', '00495 ', '00495 ', '00496 ', '00500 ', '00507 ', '00507 ', '00507 ', '00507 ', '00507 ', '00507 ', '00508 ', '00511 ', '00516 ', '00518 ', '00525 ', '00525 ', '00525 ', '00525 ', '00525 ', '00570 ', '00581 ', '00581 ', '00596 ', '00596 ', '00602 ', '00607 ', '00617 ', '00617 ', '00620 ', '00628 ', '00658 ', '00658 ', '00670 ', '00689 ', '00689 ', '00691 ', '00692 ', '00694 ', '00694 ', '00694 ', '00694 ', '00704 ', '00719 ', '00736 ', '00736 ', '00736 ', '00736 ', '00755 ', '00755 ', '00759 ', '00777 ', '00777 ', '00798 ', '00801 ', '00801 ', '00808 ', '00811 ', '00818 ', '00818 ', '00822 ', '00822 ', '00835 ', '00838 ', '00844 ', '00860 ', '00860 ', '00897 ', '00898 ', '00902 ', '00902 ', '00903 ', '00911 ', '00922 ', '00925 ', '00928 ', '00930 ', '00931 ', '00933 ', '00935 ', '00936 ', '00949 ', '00966 ', '00985 ', '00997 ', '01001 ', '01001 ', '01001 ', '01004 ', '01031 ', '01031 ', '01036 ', '01036 ', '01068 ', '01070 ', '01070 ', '01088 ', '01093 ', '01093 ', '01099 ', '01100 ', '01103 ', '01105 ', '01105 ', '01111 ', '01122 ', '01123 ', '01127 ', '01128 ', '01128 ', '01130 ', '01139 ', '01139 ', '01139 ', '01152 ', '01153 ', '01153 ', '01155 ', '01155 ', '01156 ', '01160 ', '01160 ', '01167 ', '01170 ', '01170 ', '01170 ', '01171 ', '01172 ', '01172 ', '01173 ', '01176 ', '01176 ', '01176 ', '01185 ', '01186 ', '01186 ', '01206 ', '01206 ', '01206 ', '01206 ', '01206 ', '01220 ', '01234 ']
ascariasis;['00902 ', '00902 ']
ascertain;['00962 ']
ascertainment;['00431 ', '00431 ']
aside;['00511 ']
aspect;['00118 ', '00333', '00435 ', '00882 ', '01066 ']
aspects;['00076 ', '00077 ', '00095 ', '00197', '00241', '00370 ', '00370 ', '00433 ', '00435 ', '00438 ', '00443 ', '00465 ', '00511 ', '00581 ', '00581 ', '00767 ', '00791 ', '00875 ', '00882 ', '00949 ', '01004 ', '01040 ', '01066 ', '01151 ', '01159 ', '01181 ']
aspergillosis;['00432 ', '00438 ']
aspermia;['00875 ', '01033 ']
asphyxiating;['00768 ']
aspirates;['00497 ', '00602 ']
aspiration;['00363 ', '00990 ', '00991 ']
assay;['00107 ', '00201', '00264', '00277', '00293', '00689 ', '00691 ', '00954 ', '01028 ', '01127 ', '01183 ']
assayed;['00019 ', '00107 ', '00107 ', '00406 ', '00445 ', '01068 ', '01137 ', '01139 ', '01140 ']
assaying;['01140 ', '01167 ']
assays;['00112 ', '00112 ', '00112 ', '00112 ', '00444 ', '00504 ', '00505 ']
assembly;['00516 ']
assess;['00285', '00465 ', '00508 ', '00586 ', '00586 ', '00719 ', '01163 ', '01181 ', '01220 ']
assessed;['00212', '00326', '00879 ']
assessing;['00037 ', '01224 ']
assessment;['00111 ', '00326', '00844 ', '01041 ', '01041 ', '01041 ', '01162 ', '01195 ', '01195 ']
assist;['00169', '00315']
assisted;['00910 ', '00910 ']
associated;['00037 ', '00046 ', '00096 ', '00098 ', '00103 ', '00136 ', '00146 ', '00201', '00247', '00272', '00281', '00281', '00299', '00423 ', '00430 ', '00484 ', '00592 ', '00593 ', '00593 ', '00643 ', '00643 ', '00781 ', '00801 ', '00822 ', '00822 ', '00832 ', '00836 ', '00837 ', '00925 ', '00928 ', '00935 ', '00935 ', '00944 ', '00979 ', '00985 ', '01065 ', '01106 ', '01129 ', '01131 ', '01132 ', '01156 ', '01158 ', '01169 ', '01175 ', '01185 ', '01226 ']
associates;['00018 ', '00018 ', '00268', '00268', '00930 ', '01001 ']
association;['00039 ', '00091 ', '00432 ', '00582 ', '00690 ', '00756 ', '01096 ', '01106 ']
associations;['01096 ']
assume;['00690 ']
assumed;['00718 ', '01100 ']
assuming;['00351']
assurance;['01186 ']
asthma;['00056 ', '00056 ', '00056 ', '00056 ', '00056 ', '00060 ', '00060 ', '00060 ', '00237', '00547 ', '00593 ', '00716 ', '00716 ', '00716 ', '00726 ', '00726 ', '00726 ', '00726 ', '00990 ', '01099 ', '01099 ', '01134 ', '01134 ', '01163 ', '01164', '01169 ', '01172 ', '01172 ', '01172 ']
asthmatic;['00056 ', '00716 ', '00726 ', '00726 ', '00726 ', '00726 ', '01220 ']
asthmatics;['00726 ']
astonishing;['00325']
asynchronous;['00201']
at;['00014 ', '00018 ', '00030 ', '00037 ', '00037 ', '00037 ', '00046 ', '00046 ', '00071 ', '00077 ', '00077 ', '00091 ', '00091 ', '00098 ', '00104 ', '00111 ', '00111 ', '00111 ', '00119 ', '00120 ', '00120 ', '00125 ', '00129 ', '00130 ', '00135 ', '00136 ', '00142 ', '00147 ', '00147 ', '00147 ', '00169', '00169', '00180', '00185', '00196', '00206', '00206', '00213', '00213', '00215', '00216', '00220', '00239', '00244', '00267', '00268', '00272', '00277', '00280', '00281', '00287', '00291', '00291', '00297', '00322', '00330', '00331', '00343', '00350', '00351', '00351', '00370 ', '00370 ', '00377 ', '00389 ', '00392 ', '00392 ', '00431 ', '00431 ', '00432 ', '00435 ', '00456 ', '00483 ', '00484 ', '00484 ', '00485 ', '00487 ', '00498 ', '00502 ', '00503 ', '00504 ', '00504 ', '00559 ', '00570 ', '00581 ', '00592 ', '00593 ', '00601 ', '00605 ', '00605 ', '00617 ', '00617 ', '00628 ', '00649 ', '00658 ', '00693 ', '00694 ', '00704 ', '00714 ', '00714 ', '00732 ', '00736 ', '00761 ', '00761 ', '00762 ', '00818 ', '00824 ', '00830 ', '00846 ', '00875 ', '00879 ', '00879 ', '00897 ', '00902 ', '00922 ', '00923 ', '00926 ', '00927 ', '00934 ', '00935 ', '00941 ', '00962 ', '00985 ', '01033 ', '01033 ', '01039 ', '01040 ', '01091 ', '01096 ', '01103 ', '01109 ', '01135 ', '01137 ', '01137 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01151 ', '01156 ', '01156 ', '01157 ', '01169 ', '01186 ', '01188 ', '01195 ', '01195 ', '01220 ']
ataxia;['00016 ', '00016 ']
atelectasis;['00990 ']
atopia;['00135 ']
atopic;['00927 ', '00927 ']
atopy;['00432 ', '01163 ']
atresia;['00351']
atrophy;['00034 ', '00300']
attached;['00146 ']
attack;['01097 ']
attempt;['00056 ', '00147 ', '00180', '00241', '00328', '00389 ', '00439 ', '00441 ', '00581 ', '00739 ', '00944 ', '00962 ', '01183 ']
attempted;['00165 ', '00285', '00333', '00373 ', '00529 ', '00691 ', '00740 ', '01096 ', '01210 ', '01236 ']
attempting;['00276']
attempts;['00264', '00435 ', '00739 ', '00930 ', '00949 ']
attendance;['00879 ']
attendant;['00545 ']
attending;['00030 ', '00111 ', '00406 ']
attention;['00014 ', '00060 ', '00107 ', '00165 ', '00220', '00241', '00392 ', '00498 ', '00498 ', '00510 ', '00516 ', '00518 ', '00607 ', '00704 ', '00767 ', '00773 ', '00856 ', '01105 ', '01105 ', '01127 ']
attitude;['00449 ']
attitudes;['01224 ', '01224 ', '01224 ']
attracted;['00510 ']
attractive;['00098 ', '00538 ', '00925 ', '01156 ', '01173 ']
attributable;['00525 ']
attribute;['00879 ']
attributed;['00438 ', '01157 ']
aureus;['00110 ', '00110 ', '00135 ', '00300', '00505 ', '00718 ', '00922 ', '00922 ', '00922 ', '00922 ', '00923 ', '00923 ', '00923 ', '00923 ']
author;['00165 ', '00373 ', '00590 ', '00856 ', '00940 ', '01188 ', '01188 ']
authors;['00147 ', '00147 ', '00377 ', '00658 ', '00694 ', '00811 ', '00811 ', '00919 ', '00925 ', '00938 ', '01105 ', '01168 ']
autogenic;['01153 ', '01153 ', '01153 ']
autoimmune;['00860 ']
autonomic;['00498 ', '00505 ', '01156 ', '01157 ']
autopsied;['00322']
autopsies;['00322']
autopsy;['00262', '00322', '00350', '00649 ', '00690 ']
autosomal;['00039 ', '00102 ', '00162 ', '00216', '00297', '00370 ', '00370 ', '00431 ', '00431 ', '00452 ', '00494 ', '00503 ', '00559 ', '00627 ', '00719 ', '00822 ', '00830 ', '00881 ', '00902 ', '00926 ', '01156 ']
autosomes;['00215']
available;['00120 ', '00360 ', '00370 ', '00395 ', '00395 ', '00605 ', '00627 ', '00628 ', '00670 ', '00882 ', '00903 ', '00911 ', '01004 ', '01041 ', '01091 ', '01174 ', '01182 ', '01236 ']
average;['00147 ', '00332', '01151 ', '01171 ', '01206 ']
avoid;['00925 ', '00925 ', '01155 ']
avoidance;['00333']
avoids;['00206']
awaits;['00897 ']
aware;['00103 ', '00208', '00450 ', '00882 ', '00915 ', '01186 ']
awareness;['00517 ', '01180 ']
axonemal;['00201', '00201']
azotorrhea;['00135 ']
b;['00219']
babies;['00037 ', '00037 ', '00291', '00291', '00291', '00291', '00291', '00291', '00291', '00331', '00482 ', '00482 ', '00482 ', '00544 ', '00713 ', '00713 ', '00713 ', '00818 ', '01177 ', '01177 ']
baby;['00037 ', '00037 ', '00331', '00714 ', '00714 ', '01098 ', '01098 ', '01136 ', '01155 ']
bacilli;['00164 ', '00164 ', '01065 ']
bacillus;['01065 ']
back;['00627 ']
background;['00058 ', '00954 ', '01041 ']
backward;['00272']
bacteremia;['00769 ']
bacteria;['00110 ', '00270', '00282', '00326', '00331', '00860 ', '00903 ', '00903 ', '01173 ']
bacterial;['00102 ', '00111 ', '00281', '00333', '00451 ', '00860 ', '00922 ', '00922 ', '01170 ', '01170 ', '01173 ', '01173 ']
bacteriology;['00110 ', '00505 ', '00922 ']
badly;['00607 ', '00929 ']
balance;['00406 ', '01158 ']
balanced;['00018 ']
balances;['00694 ']
baldness;['00296']
band;['00954 ', '00954 ', '01210 ', '01210 ', '01210 ', '01210 ']
banding;['00534 ']
bands;['00019 ', '00185', '00445 ', '00740 ', '00740 ', '00954 ']
barely;['00902 ']
barrier;['00432 ', '00511 ']
barriers;['00517 ']
basal;['00163 ', '01157 ', '01165 ', '01165 ', '01165 ']
base;['00542 ', '01103 ', '01139 ', '01183 ']
based;['00215', '00291', '00322', '00350', '00437 ', '00482 ', '00627 ', '00644 ', '00756 ', '00818 ', '00822 ', '00930 ', '01148 ', '01174 ', '01176 ', '01234 ']
baseline;['01099 ', '01099 ']
basement;['00860 ']
bases;['00490 ']
basic;['00014 ', '00017 ', '00019 ', '00060 ', '00264', '00325', '00325', '00326', '00430 ', '00442 ', '00444 ', '00452 ', '00484 ', '00498 ', '00504 ', '00505 ', '00875 ', '00881 ', '00911 ', '00926 ', '00937 ', '01040 ', '01135 ', '01155 ', '01156 ', '01156 ', '01160 ', '01160 ']
basically;['00213']
basis;['00014 ', '00104 ', '00118 ', '00121 ', '00169', '00219', '00250', '00281', '00315', '00351', '00436 ', '00559 ', '00670 ', '00752 ', '00811 ', '00926 ', '00997 ']
bath;['01210 ']
battery;['00299']
